CC_Assembly walk debug — 2026-06-28T13:38:14.401487
Project: 1LLVB4-09D0AA
Total occurrences visited: 86
CAM-ALPF tagged components: 0

--- CAM API exploration ---
ENABLE_CAM_PROBE=False — skipped (set True at top of CC_Assembly.py to re-enable)

depth | SM | CAM | material         | display_name (component)
    0 |     |     |                  | DSVBA3-090000 v6:2 (DSVBA3-090000 v6)
    1 |     |     |                  | DSB0FA-090000 v4:1 (DSB0FA-090000 v4)
    2 |     |     |                  | DSB0FA-000000 v2:1 (DSB0FA-000000 v2)
    3 |     |     | Steel            | L:1 (L)
    4 |     |     | Steel            | Slide-L:1 (Slide-L)
    3 |     |     | Steel            | R:1 (R)
    4 |     |     | Steel            | Slide-R:1 (Slide-R)
    2 | SM  |     | ALPF             | DSB0F0-090050 v4:1 (DSB0F0-090050 v4)
    2 | SM  |     | ALPF             | DSB0BA-090050 v7:1 (DSB0BA-090050 v7)
    1 | SM  |     | ALPF             | DSV100-090020 v5:1 (DSV100-090020 v5)
    1 | SM  |     | ALPF             | DSV2B3-090020 v4:1 (DSV2B3-090020 v4)
    0 |     |     |                  | DSVBA4-090000 v6:1 (DSVBA4-090000 v6)
    1 |     |     |                  | DSB0FA-090000 v4:1 (DSB0FA-090000 v4)
    2 |     |     |                  | DSB0FA-000000 v2:1 (DSB0FA-000000 v2)
    3 |     |     | Steel            | L:1 (L)
    4 |     |     | Steel            | Slide-L:1 (Slide-L)
    3 |     |     | Steel            | R:1 (R)
    4 |     |     | Steel            | Slide-R:1 (Slide-R)
    2 | SM  |     | ALPF             | DSB0F0-090050 v4:1 (DSB0F0-090050 v4)
    2 | SM  |     | ALPF             | DSB0BA-090050 v7:1 (DSB0BA-090050 v7)
    1 | SM  |     | ALPF             | DSV100-090020 v5:1 (DSV100-090020 v5)
    1 | SM  |     | ALPF             | DSV2B4-090020 v4:1 (DSV2B4-090020 v4)
