CC_Assembly walk debug — 2026-06-23T17:21:56.635671
Project: 04 Ruth
Total occurrences visited: 93
CAM-ALPF tagged components: 0

--- CAM API exploration ---
ENABLE_CAM_PROBE=False — skipped (set True at top of CC_Assembly.py to re-enable)

depth | SM | CAM | material         | display_name (component)
    3 |     |     | Steel            | 1-HingeW v2:1 (1-HingeW v2)
    4 |     |     | Steel            | Cup (1):1 (Cup (1))
    4 |     |     | Steel            | B (1):1 (B (1))
    4 |     |     | Steel            | A (1):1 (A (1))
    2 |     |     |                  | 1SHS10-080035 v28:1 (1SHS10-080035 v28)
    3 |     |     |                  | 1SHG00-080035 v45:1 (1SHG00-080035 v45)
    4 |     |     |                  | Fitting:1 (Fitting)
    5 |     |     |                  | Shelf Support M5 by SSD v27:1 (Shelf Support M5 by SSD v27)
    5 |     |     |                  | Shelf Support M5 by SSD v27:2 (Shelf Support M5 by SSD v27)
    5 |     |     |                  | Shelf Support M5 by SSD v27:3 (Shelf Support M5 by SSD v27)
    5 |     |     |                  | Shelf Support M5 by SSD v27:4 (Shelf Support M5 by SSD v27)
    4 |     |     | Steel            | SH0G00-020035:1 (SH0G00-020035)
    3 |     |     |                  | SH0S10-080035 v9:1 (SH0S10-080035 v9)
    4 | SM  |     | ALPF             | SH0S12-080000 v5:1 (SH0S12-080000 v5)
    4 | SM  |     | ALPF             | SH0S11-080035 v7:1 (SH0S11-080035 v7)
